O,D,V,Dis,Time
Z1,Z9,-0.146,4166,755
Z2,Z9,-0.144,4299,732
Z2,Z146,-0.143,6806,1113
Z2,Z363,0.242,7028,1072
Z3,Z9,0.036,3433,589
Z3,Z44,1.558,9034,1521
Z3,Z45,0.424,3251,576
Z3,Z84,1.59,11974,1614
Z3,Z102,1.092,9899,1521
Z3,Z120,1.917,5881,1053
Z3,Z155,-0.07,2356,475
Z3,Z192,0.795,8982,1282
Z3,Z201,-0.171,1262,273
Z3,Z247,1.178,9600,1475
Z3,Z353,0.235,1204,281
Z3,Z367,0.574,7608,1140
Z4,Z4,0,0,0
Z4,Z9,1.312,7444,1223
Z4,Z129,1.18,1549,272
Z4,Z192,0.558,6879,1175
Z4,Z282,0.059,4770,824
Z4,Z365,0.236,2819,514
Z4,Z386,0.199,4748,809
Z4,Z397,0.74,7927,1288
Z5,Z34,-0.065,1492,314
Z5,Z73,-0.113,2506,554
Z5,Z98,-0.018,4541,937
Z5,Z132,0.858,1730,360
Z5,Z138,2.355,10312,1752
Z5,Z192,0.299,5164,1064
Z5,Z193,-0.095,2719,602
Z5,Z229,0.943,7678,1259
Z5,Z276,0.066,598,137
Z6,Z21,0.056,2058,468
Z6,Z23,4.957,14152,1629
Z6,Z35,0.277,4494,730
Z6,Z121,0.63,5351,804
Z6,Z122,0.697,5172,733
Z6,Z133,0.242,1846,442
Z6,Z154,1.967,10770,1199
Z6,Z237,0.978,2495,457
Z6,Z238,1.676,2953,621
Z6,Z270,0.267,3211,552
Z6,Z296,0.219,4207,705
Z7,Z118,0.15,4634,624
Z7,Z336,1.655,3129,460
Z7,Z337,0.429,4980,794
Z8,Z9,0.485,1320,259
Z8,Z156,0.869,5396,873
Z8,Z297,2.571,2339,567
Z8,Z343,1.46,8327,1121
Z8,Z371,0.378,3025,449
Z8,Z372,3.853,16570,1757
Z9,Z1,2.497,4001,747
Z9,Z2,2.286,4058,714
Z9,Z3,1.797,3191,554
Z9,Z4,1.809,8077,1280
