O,D,V
Z1,Z9,-0.146
Z2,Z9,-0.144
Z2,Z146,-0.143
Z2,Z363,0.242
Z3,Z9,0.036
Z3,Z44,1.558
Z3,Z45,0.424
Z3,Z84,1.59
Z3,Z102,1.092
Z3,Z120,1.917
Z3,Z155,-0.07
Z3,Z192,0.795
Z3,Z201,-0.171
Z3,Z247,1.178
Z3,Z353,0.235
Z3,Z367,0.574
Z4,Z4,0
Z4,Z9,1.312
Z4,Z129,1.18
Z4,Z192,0.558
Z4,Z282,0.059
Z4,Z365,0.236
Z4,Z386,0.199
Z4,Z397,0.74
Z5,Z34,-0.065
Z5,Z73,-0.113
Z5,Z98,-0.018
Z5,Z132,0.858
Z5,Z138,2.355
Z5,Z192,0.299
Z5,Z193,-0.095
Z5,Z229,0.943
Z5,Z276,0.066
Z6,Z21,0.056
Z6,Z23,4.957
Z6,Z35,0.277
Z6,Z121,0.63
Z6,Z122,0.697
Z6,Z133,0.242
Z6,Z154,1.967
Z6,Z237,0.978
Z6,Z238,1.676
Z6,Z270,0.267
Z6,Z296,0.219
Z7,Z118,0.15
Z7,Z336,1.655
Z7,Z337,0.429
Z8,Z9,0.485
Z8,Z156,0.869
Z8,Z297,2.571
Z8,Z343,1.46
Z8,Z371,0.378
Z8,Z372,3.853
Z9,Z1,2.497
Z9,Z2,2.286
Z9,Z3,1.797
Z9,Z4,1.809
Z9,Z55,1.982
Z9,Z61,1.563
Z9,Z82,1.252
Z9,Z87,1.149
Z9,Z90,0.021
Z9,Z117,1.586
Z9,Z143,1.749
Z9,Z146,0.643
Z9,Z153,1.014
Z9,Z154,0.92
Z9,Z155,1.535
Z9,Z157,0.46
Z9,Z192,0.597
Z9,Z193,0.797
Z9,Z194,0.732
Z9,Z202,0.844
Z9,Z224,1.351
Z9,Z229,1.277
Z9,Z247,0.951
Z9,Z252,0.524
Z9,Z263,0.66
Z9,Z266,3.272
Z9,Z267,3.611
Z9,Z276,2.076
Z9,Z282,0.417
Z9,Z309,0.553
Z9,Z334,0.501
Z9,Z367,0.366
Z9,Z398,0.543
Z10,Z4,1.281
Z10,Z10,0
Z10,Z181,0.209
Z10,Z209,0.018
Z10,Z308,3.507
Z11,Z186,0.134
Z11,Z270,-0.365
Z11,Z296,-0.299
Z11,Z386,0.284
Z12,Z12,0
Z12,Z141,fail
Z12,Z148,fail
Z12,Z181,fail
Z12,Z194,0.025
Z12,Z325,-0.061
Z12,Z368,fail
Z13,Z14,0.383
Z14,Z13,-0.059
Z15,Z159,2.546
Z15,Z206,0.939
Z16,Z16,0
Z16,Z192,0.606
Z16,Z253,0.138
Z16,Z334,0.127
Z16,Z398,0.827
Z17,Z17,0
Z17,Z192,1.218
Z17,Z291,0.073
Z17,Z393,1.313
Z18,Z21,0.514
Z18,Z139,-0.111
Z18,Z181,0.485
Z18,Z191,0.229
Z18,Z363,1.068
Z18,Z386,0.513
Z19,Z19,0
Z19,Z21,0.48
Z19,Z102,0.597
Z19,Z191,0.816
Z19,Z192,0.985
Z19,Z201,3.188
Z19,Z238,2.008
Z19,Z247,1.141
Z19,Z266,2.84
Z19,Z293,0.534
Z19,Z398,1.191
Z20,Z276,0.779
Z20,Z395,2.243
Z21,Z6,0.876
Z21,Z18,1.763
Z21,Z19,2.525
Z21,Z21,0
Z21,Z72,12.136
Z21,Z86,0.265
Z21,Z93,2.431
Z21,Z94,0.782
Z21,Z98,0.468
Z21,Z140,2.738
Z21,Z146,1.345
Z21,Z181,0.29
Z21,Z197,1.154
Z21,Z203,0.719
Z21,Z238,1.922
Z21,Z259,2.289
Z21,Z260,1.032
Z21,Z270,0.095
Z21,Z292,0.294
Z21,Z349,0.747
Z21,Z383,4.858
Z22,Z148,-0.382
Z22,Z171,3.181
Z22,Z189,0.084
Z22,Z237,2.182
Z23,Z115,3.383
Z23,Z157,-0.367
Z23,Z177,0.031
Z23,Z191,0.455
Z23,Z192,0.297
Z23,Z309,0.253
Z23,Z312,-0.484
Z23,Z325,0.831
Z23,Z402,3.017
Z24,Z24,0
Z24,Z55,4.223
Z24,Z97,0.967
Z24,Z144,0.696
Z24,Z181,1.267
Z24,Z187,1.613
Z24,Z203,1.545
Z24,Z258,3.93
Z24,Z259,3.168
Z24,Z275,0.848
Z24,Z293,0.981
Z24,Z331,1.613
Z24,Z361,0.489
Z24,Z364,0.295
Z24,Z372,0.238
Z24,Z383,2.12
Z24,Z402,1.189
Z25,Z28,0.831
Z25,Z29,0.501
Z25,Z30,0.321
Z25,Z33,0.171
Z25,Z87,10.605
Z25,Z122,11.88
Z25,Z138,12.386
Z25,Z343,10.938
Z25,Z366,11.31
Z26,Z25,0.101
Z27,Z97,12.571
Z27,Z164,5.389
Z27,Z292,12.17
Z28,Z25,0.112
Z28,Z30,-0.08
Z28,Z31,-0.086
Z28,Z32,-0.089
Z29,Z30,0.335
Z30,Z25,0.667
Z30,Z28,8.663
Z30,Z60,11.52
Z30,Z248,12.008
Z30,Z366,0.669
Z31,Z28,6.612
Z31,Z163,0.762
Z32,Z28,0.891
Z33,Z25,1.254
Z34,Z5,1.427
Z34,Z67,1.808
Z34,Z95,1.168
Z34,Z122,0.259
Z34,Z132,0.338
Z34,Z192,1.908
Z34,Z325,1.756
Z34,Z394,0
Z35,Z6,1.639
Z35,Z35,2.506
Z35,Z67,1.331
Z35,Z95,3.197
Z35,Z203,1.734
Z35,Z234,0.578
Z35,Z239,0.762
Z35,Z270,1.744
Z35,Z293,-0.044
Z35,Z346,0.568
Z36,Z156,0.059
Z36,Z193,0.044
Z36,Z196,0.968
Z36,Z229,0.223
Z36,Z236,2.083
Z36,Z265,0.13
Z37,Z45,0.543
Z37,Z192,0.202
Z37,Z343,0.946
Z38,Z248,0.322
Z38,Z398,2.623
Z39,Z111,1.198
Z39,Z201,0.335
Z39,Z371,2.191
Z40,Z122,0.067
Z40,Z123,-0.015
Z40,Z229,0.29
Z40,Z283,0.605
Z41,Z38,2.515
Z41,Z40,1.438
Z41,Z75,0.56
Z41,Z118,0.149
Z41,Z121,0.745
Z41,Z153,0.776
Z41,Z193,0.513
Z41,Z202,0.982
Z41,Z242,0.191
Z41,Z250,2.108
Z41,Z334,0.263
Z41,Z348,-0.133
Z41,Z386,1.305
Z42,Z156,0.138
Z42,Z183,-0.056
Z42,Z220,0.591
Z42,Z330,1.298
Z42,Z398,0.88
Z43,Z53,0.371
Z43,Z75,0.991
Z43,Z192,0.063
Z43,Z325,1.4
Z43,Z367,0.277
Z44,Z44,-0.462
Z44,Z47,-0.218
Z44,Z52,0.139
Z44,Z54,0.678
Z44,Z57,0.226
Z44,Z59,0.644
Z44,Z61,0.52
Z44,Z63,-0.01
Z44,Z64,0.104
Z44,Z127,0.741
Z44,Z178,0.222
Z44,Z265,0.584
Z44,Z269,-0.245
Z44,Z311,2.508
Z44,Z369,3.97
Z45,Z22,1.533
Z45,Z37,0.997
Z45,Z45,1.486
Z45,Z59,0.864
Z45,Z102,1.348
Z45,Z127,1.162
Z45,Z146,1.642
Z45,Z192,1.401
Z45,Z269,0.592
Z45,Z271,1.185
Z45,Z287,1.994
Z45,Z309,1.126
Z45,Z365,3.554
Z45,Z398,3.945
Z46,Z186,3.589
Z46,Z311,2.33
Z47,Z44,1.74
Z47,Z73,2.046
Z47,Z105,3.83
Z47,Z222,1.577
Z47,Z332,0.901
Z47,Z369,0.9
Z48,Z54,1.971
Z48,Z63,7.373
Z48,Z177,2.355
Z49,Z27,4.161
Z49,Z59,3.448
Z52,Z44,2.683
Z52,Z181,4.327
Z52,Z193,4.327
Z53,Z43,0.278
Z53,Z44,0.948
Z53,Z54,0.22
Z53,Z59,1.241
Z53,Z61,6.811
Z53,Z63,4.065
Z53,Z308,0.035
Z54,Z44,0.692
Z54,Z53,0.921
Z54,Z58,1.142
Z54,Z59,1.424
Z54,Z63,1.815
Z54,Z105,2.84
Z54,Z155,3.063
Z54,Z269,2.054
Z54,Z353,5.394
Z54,Z369,2.379
Z54,Z387,0.672
Z55,Z9,0.205
Z55,Z59,0.018
Z55,Z60,0.509
Z55,Z61,5.192
Z55,Z64,2.402
Z55,Z107,2.8
Z55,Z194,1.538
Z55,Z344,2.572
Z55,Z374,4.299
Z56,Z191,4.194
Z57,Z44,0.306
Z57,Z46,0.4
Z57,Z54,3.984
