PointsD,PointsO
Z320,Z320
Z367,Z320
Z388,Z320
Z248,Z320
Z164,Z320
Z140,Z320
Z389,Z320
Z145,Z320
Z126,Z320
Z27,Z320
Z138,Z320
Z359,Z320
Z207,Z320
Z45,Z320
Z303,Z320
Z193,Z320
Z318,Z320
Z253,Z320
Z203,Z320
Z315,Z320
Z23,Z320
Z272,Z320
Z14,Z320
Z46,Z320
Z221,Z320
Z349,Z320
Z256,Z320
Z144,Z320
Z227,Z320
Z399,Z320
Z251,Z320
Z55,Z320
Z368,Z320
Z48,Z320
Z96,Z320
Z82,Z320
Z79,Z320
Z139,Z320
Z224,Z320
Z394,Z320
Z275,Z320
Z104,Z320
Z302,Z320
Z401,Z320
Z149,Z320
Z206,Z320
Z273,Z320
Z351,Z320
Z54,Z320
Z381,Z320
Z153,Z320
Z263,Z320
Z132,Z320
Z352,Z320
Z87,Z320
Z244,Z320
Z345,Z320
Z64,Z320
Z178,Z320
Z228,Z320
Z341,Z320
Z142,Z320
Z47,Z320
Z339,Z320
Z355,Z320
Z297,Z320
Z261,Z320
Z163,Z320
Z292,Z320
Z44,Z320
Z379,Z320
Z287,Z320
Z243,Z320
Z159,Z320
Z1,Z320
Z32,Z320
Z283,Z320
Z31,Z320
Z57,Z320
Z92,Z320
Z397,Z320
Z325,Z320
Z346,Z320
Z258,Z320
Z316,Z320
Z402,Z320
Z384,Z320
Z20,Z320
Z266,Z320
Z218,Z320
Z393,Z320
Z115,Z320
Z120,Z320
Z99,Z320
Z43,Z320
Z30,Z320
Z88,Z320
Z363,Z320
Z24,Z320
Z215,Z320
Z107,Z320
Z238,Z320
Z133,Z320
Z131,Z320
Z342,Z320
Z260,Z320
Z373,Z320
Z326,Z320
Z18,Z320
Z269,Z320
Z4,Z320
Z156,Z320
Z310,Z320
Z358,Z320
Z327,Z320
Z94,Z320
Z396,Z320
Z42,Z320
Z400,Z320
Z321,Z320
Z26,Z320
Z93,Z320
Z123,Z320
Z127,Z320
Z117,Z320
Z85,Z320
Z295,Z320
Z344,Z320
Z101,Z320
Z12,Z320
Z223,Z320
Z239,Z320
Z15,Z320
Z65,Z320
Z213,Z320
Z328,Z320
Z208,Z320
Z301,Z320
Z177,Z320
Z189,Z320
Z259,Z320
Z284,Z320
Z53,Z320
Z282,Z320
Z387,Z320
Z233,Z320
Z267,Z320
Z143,Z320
Z119,Z320
Z250,Z320
Z8,Z320
Z210,Z320
Z63,Z320
Z225,Z320
Z365,Z320
Z9,Z320
Z113,Z320
Z95,Z320
Z264,Z320
Z59,Z320
Z314,Z320
Z194,Z320
Z369,Z320
Z36,Z320
Z322,Z320
Z347,Z320
Z226,Z320
Z204,Z320
Z279,Z320
Z333,Z320
Z280,Z320
Z371,Z320
Z76,Z320
Z268,Z320
Z237,Z320
Z25,Z320
Z306,Z320
Z161,Z320
Z169,Z320
Z110,Z320
Z168,Z320
Z191,Z320
Z35,Z320
Z386,Z320
Z75,Z320
Z129,Z320
Z71,Z320
Z270,Z320
Z334,Z320
Z294,Z320
Z348,Z320
Z391,Z320
Z246,Z320
Z312,Z320
Z16,Z320
Z372,Z320
Z52,Z320
Z84,Z320
Z3,Z320
Z181,Z320
Z80,Z320
Z2,Z320
Z121,Z320
Z338,Z320
Z271,Z320
Z28,Z320
Z136,Z320
Z319,Z320
Z90,Z320
Z175,Z320
Z183,Z320
Z254,Z320
Z335,Z320
Z7,Z320
Z105,Z320
Z289,Z320
Z197,Z320
Z141,Z320
Z37,Z320
Z103,Z320
Z187,Z320
Z21,Z320
Z229,Z320
Z61,Z320
Z249,Z320
Z154,Z320
Z313,Z320
Z300,Z320
Z70,Z320
Z148,Z320
Z337,Z320
Z222,Z320
Z184,Z320
Z160,Z320
Z72,Z320
Z331,Z320
Z11,Z320
Z276,Z320
Z38,Z320
Z265,Z320
Z58,Z320
Z361,Z320
Z343,Z320
Z209,Z320
Z220,Z320
Z235,Z320
Z257,Z320
Z155,Z320
